fdc_id,data_type,description,food_category_id,publication_date
320041,sub_sample_food,"MILK, 2% ",1,01/04/2019
320042,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320043,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320044,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320045,sub_sample_food,"MILK, 2% ",1,01/04/2019
320046,sub_sample_food,"MILK, 2% ",1,01/04/2019
320047,sub_sample_food,"MILK, 2% ",1,01/04/2019
320048,sub_sample_food,"MILK, 2% ",1,01/04/2019
320049,sub_sample_food,"MILK, 2% ",1,01/04/2019
320050,sub_sample_food,"MILK, 2% ",1,01/04/2019
320051,sub_sample_food,"MILK, 2% ",1,01/04/2019
320052,sub_sample_food,"MILK, 2% ",1,01/04/2019
320053,sub_sample_food,"MILK, 2% ",1,01/04/2019
320054,sub_sample_food,"MILK, 2% ",1,01/04/2019
320055,sub_sample_food,"Milk, 2%",1,01/04/2019
320056,sub_sample_food,"Milk, 2%",1,01/04/2019
320057,sub_sample_food,"Milk, 2%",1,01/04/2019
320058,sub_sample_food,"Milk, 2%",1,01/04/2019
320059,sub_sample_food,"Milk, 2%",1,01/04/2019
320060,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320061,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320062,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320063,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320064,sub_sample_food,"MILK, 2% ",1,01/04/2019
320065,sub_sample_food,"MILK, 2% ",1,01/04/2019
320066,sub_sample_food,"MILK, 2% ",1,01/04/2019
320067,sub_sample_food,"MILK, 2% ",1,01/04/2019
320068,sub_sample_food,"MILK, 2% ",1,01/04/2019
320069,sub_sample_food,"MILK, 2% ",1,01/04/2019
320070,sub_sample_food,"MILK, 2% ",1,01/04/2019
320071,sub_sample_food,"MILK, 2% ",1,01/04/2019
320072,sub_sample_food,"MILK, 2% ",1,01/04/2019
320073,sub_sample_food,"MILK, 2% ",1,01/04/2019
320074,sub_sample_food,"MILK, 2% ",1,01/04/2019
320075,sub_sample_food,"MILK, 2% ",1,01/04/2019
320076,sub_sample_food,"MILK, 2% ",1,01/04/2019
320077,sub_sample_food,"Milk, 2%",1,01/04/2019
320078,sub_sample_food,"Milk, 2%",1,01/04/2019
320079,sub_sample_food,"Milk, 2%",1,01/04/2019
320080,sub_sample_food,"Milk, 2%",1,01/04/2019
320081,sub_sample_food,"Milk, 2%",1,01/04/2019
320082,sub_sample_food,"Milk, 2%",1,01/04/2019
320083,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320084,sub_sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320085,sample_food,"MILK, 2% (WAVE 22E)",1,01/04/2019
320086,market_acquisition,"MILK, 2% (WAVE 22E)",1,01/04/2019
320087,sub_sample_food,"MILK, 2% ",1,01/04/2019
320088,sub_sample_food,"MILK, 2% ",1,01/04/2019
320089,sub_sample_food,"MILK, 2% ",1,01/04/2019
320090,sub_sample_food,"MILK, 2% ",1,01/04/2019
320091,sub_sample_food,"MILK, 2% ",1,01/04/2019
320092,sub_sample_food,"MILK, 2% ",1,01/04/2019
