food_description,"Fiber, total dietary","Fatty acids, total polyunsaturated","Magnesium, Mg",Vitamin_D_Total_UG,"Zinc, Zn"
"Sweet potatoes,  orange flesh",0.0,0.0,19.14,0.0,0.3374
Sweetened condensed milk,0.0,0.3014,0.0,0.0,0.0
"Swordfish,  frozen",0.0,0.0,26.68,0.0,0.5407
"Tomatillos,  dehusked",1.7,0.0,13.51,0.0,0.1594
"Tomato juice,  with added ingredients",0.0,0.0,10.43,0.0,0.104
"Tomato,  paste",4.704,0.0,49.61,0.0,0.5113
"Tomato,  puree",1.971,0.0,19.33,0.0,0.2084
"Tomato,  roma",0.9706,0.0,8.089,0.0,0.08245
"Tomato,  sauce",1.636,0.0,18.73,0.0,0.183
"Tomatoes,  canned",0.0,0.0,9.8,0.0,0.12
"Tomatoes,  crushed",1.944,0.0,18.64,0.0,0.2014
"Tomatoes,  grape",2.1,0.0,11.9,0.0,0.2
"Tomatoes,  whole",0.8725,0.0,10.75,0.0,0.1198
"Tortilla,  corn",0.0,0.0,45.19,0.0,0.9344
"Tortilla,  wheat flour",0.0,0.0,19.85,0.0,0.4969
"Tuna,  ahi or yellowfin",0.0,0.0,35.48,0.0,0.3524
"Turkey,  ground",0.0,3.19,25.166666666666668,0.0,3.4966666666666666
"Turnips,  raw",1.915,0.0,10.39,0.0,0.1561
"Watermelon,  seedless",1.535,0.0,10.561499999999999,0.0,0.11165
"Wild rice,  dry",4.26,0.0,108.5,0.0,5.845
"Yogurt,  Greek",0.6,0.016,10.6,0.3333333333333333,0.4876666666666667
"Yogurt,  plain",0.0,0.0,13.33,0.49755,0.5136000000000001
